personality,University name,Z-core,Degree Name,District,O/L Maths ,O/L Science,O/L  English ,A/L Combine Maths,A/L Bio,A/L Physics ,A/L Chemistry,Public/Private
Open,Ruhuna,0.889,Physical Science,Kalutara,A,A,C,C,,B,C,Public
Open,Ruhuna,0.69,Physical Science,Matale,B,C,B,B,,C,S,Public
Open,Ruhuna,0.7892,Physical Science,Hambantota,A,B,C,C,,C,C,Public
Conscientiousness,Ruhuna,0.79,Physical Science,Matara,B,A,A,B,,C,C,Public
Conscientiousness,Ruhuna,0.84,Physical Science,Matara,A,B,A,B,,B,C,Public
Conscientiousness,Ruhuna,1.3,Physical Science,Hambantota,A,A,A,A,,B,C,Public
Neuroticism,SLIIT,0.35,Computing,Mathara,B,A,S,-,S,,S,Public
Neuroticism,SLIIT,0.5888,Computing,Gampaha,A,B,B,S,,,C,Public
Neuroticism,SLIIT,0.05,Computing,Anuradhapura,A,A,B,,,,S,Public
Neuroticism,SLIIT,0.3,Computing,Colombo,A,B,A,S,,,S,Public
Neuroticism,Ruhuna,1.37,Computing,Galle,A,A,A,F,F,B,F,Public
Neuroticism,Ruhuna,0.88,Physical Science,Hambantota,A,A,A,C,,,C,Public
Neuroticism,Ruhuna,1.48,Engineering,Hambantota,A,A,A,B,A,,B,Public
Neuroticism,Open University,0.035,Biological Science,Matara,A,A,A,S,B,A,S,Public
Neuroticism,Moratuwa,1.656,IT,Hambantota,A,A,C,A,,A,B,Public
Neuroticism,Open University,1.555,IT,Gampaha,A,A,A,B,,A,B,Public
Open,Moratuwa,1.861,Engineering,Colombo,A,A,A,A,,A,,Public
Open,Moratuwa,1.871,Engineering,Colombo,A,A,A,A,,A,A,Public
Open,Moratuwa,1.871,Engineering,Colombo,A,A,A,A,,A,A,Public
Open,Moratuwa,1.862,Engineering,Colombo,A,A,A,A,,A,A,Public
Open,Moratuwa,1.852,Engineering,Colombo,A,A,A,A,,A,A,Public
Open,Moratuwa,1.892,Engineering,Colombo,A,A,A,A,,A,A,Public
Open,Moratuwa,1.962,Engineering,Colombo,A,A,A,A,,A,A,Public
Open,Moratuwa,1.972,Engineering,Colombo,A,A,A,A,,A,A,Public
Open,Moratuwa,1.802,Engineering,Colombo,A,A,A,A,,A,A,Public
Open,Moratuwa,1.806,Engineering,Colombo,A,A,A,A,,A,A,Public
Open,Moratuwa,1.807,Engineering,Colombo,A,A,A,A,,A,A,Public
Open,Moratuwa,1.827,Engineering,Colombo,A,A,A,A,,A,A,Public
